Variation 01		Variation 02		Variation 03		Variation 04		Variation 05		Variation 06		Variation 07		Variation 08
182,1655578613		197,7851715088		173,4914245605		166,7218475342		216,9587707520		220,9119110107		169,9091033936		179,1925506592
182,1655578613		204,8720550537		173,4914245605		169,3467407227		223,6609497070		235,9967041016		166,0229644775		175,4397277832
182,1655578613		191,8426361084		173,4914245605		166,7870178223		201,3560943604		213,3370361328		173,4255828857		169,2808837891
182,1655578613		250,1346435547		173,4914245605		166,7876892090		223,4715270996		207,1576995850		169,2808837891		192,5025634766
182,1655578613		256,9337158203		173,4914245605		172,8800048828		271,3907775879		196,1184539795		165,9571228027		165,9571380615
182,1655578613		210,4781494141		173,4914245605		169,2808837891		220,9499359131		220,5632324219		166,7876892090		171,3172454834
182,1655578613		185,2852478027		173,4914245605		172,0501251221		212,0575256348		230,6149139404		169,2920837402		166,8528594971
182,1655578613		224,9518280029		173,4914245605		165,9571228027		188,5190582275		210,5853881836		175,0605773926		166,0229644775
182,1655578613		203,6308288574		173,4914245605		173,4914550781		218,1416320801		203,9232788086		169,9749603271		171,3172607422
182,1655578613		202,9571228027		173,4914245605		193,9437408447		191,5090332031		201,4401397705		171,3172454834		175,0605773926
182,1655578613		219,2072143555		173,4914245605		176,0021057129		187,5664672852		202,1616973877		177,5656433105		177,6314849854
182,1655578613		201,5493621826		173,4914245605		166,7876892090		215,7660064697		211,0235595703		175,4397430420		165,9571228027
182,1655578613		229,5879211426		173,4914245605		169,9749450684		209,6196899414		208,6634216309		175,3850860596		169,3579406738
182,1655578613		220,2822418213		173,4914245605		169,0602416992		226,7922058105		210,0630645752		185,8311309814		194,7641601563
182,1655578613		191,5595397949		173,4914245605		172,1159820557		235,6049194336		220,6573486328		183,7227935791		173,4914550781
182,1655578613		220,9924011230		173,4914245605		187,7906188965		217,2549438477		225,5096435547		169,2808837891		172,1159667969
182,1655578613		240,4207763672		173,4914245605		165,9571228027		233,9968719482		197,5000305176		169,9749450684		175,4397277832
182,1655578613		216,6250762939		173,4914245605		189,9975128174		200,6128845215		221,4978790283		166,0229644775		166,7870178223
182,1655578613		208,2694091797		173,4914245605		166,7218322754		248,9811401367		206,0264587402		171,3831024170		195,0208587646
182,1655578613		222,8083648682		173,4914245605		179,5844268799		205,9260101318		228,8295745850		169,2808837891		166,7870178223
182,1655578613		202,5181884766		173,4914245605		169,2808990479		242,4404296875		201,3414306641		165,9571228027		166,7218322754
182,1655578613		256,3874816895		173,4914245605		173,4255828857		216,0130920410		196,3495941162		169,9749450684		165,9571380615
182,1655578613		227,6606292725		173,4914245605		165,9571228027		188,7562103271		219,3346557617		166,0229797363		172,8806915283
182,1655578613		217,6617736816		173,4914245605		175,3738861084		211,6466827393		211,1983947754		173,8223114014		172,0501251221
182,1655578613		197,2067871094		173,4914245605		169,2808837891		227,1907653809		200,0683288574		166,7870178223		169,2920837402
182,1655578613		180,6974639893		173,4914245605		171,3172454834		213,4791870117		213,7769470215		169,2808990479		175,1532440186
182,1655578613		186,0641632080		173,4914245605		165,9571228027		206,7310028076		204,0386962891		187,0863952637		169,0602416992
182,1655578613		220,3746032715		173,4914245605		169,2808837891		201,4465484619		254,8737182617		165,9571228027		169,3579406738
182,1655578613		212,9161529541		173,4914245605		166,0229797363		209,4631958008		201,9750213623		169,2808837891		182,5449676514
182,1655578613		217,4228057861		173,4914245605		166,8528594971		258,0335998535		207,2420501709		165,9571380615		169,3467407227

Melhores resultados:
182,1655578613		180,6974639893		173,4914245605		165,9571228027		187,5664672852		196,1184539795		165,9571228027		165,9571228027
